"state","county","total_population_20","incarcerated_20","total_population_10","incarcerated_10","total_population_00","incarcerated_00","FIPS"
"PA","Bucks County","646538","792","625249","1039","597635","798","42017"
"PA","Butler County","193763","243","183862","205","174083","153","42019"
"PA","Cambria County","133472","1409","143679","2931","152598","2481","42021"
"PA","Cameron County","4547","0","5085","0","5974","6","42023"
"PA","Carbon County","64749","208","65249","159","58802","137","42025"
"PA","Centre County","158172","4592","153990","2352","135758","2071","42027"
"PA","Chester County","534413","554","498886","894","433501","654","42029"
"PA","Clarion County","37241","66","39988","83","41765","73","42031"
"PA","Clearfield County","80562","4805","81642","4243","83382","2162","42033"
"PA","Clinton County","37450","157","39238","326","37914","155","42035"
"PA","Columbia County","64727","155","67295","192","64151","137","42037"
"PA","Crawford County","83938","1315","88765","1197","90366","786","42039"
"PA","Cumberland County","259469","3125","235406","3852","213674","3666","42041"
"PA","Dauphin County","286401","1471","268100","1390","251798","1376","42043"
"PA","Delaware County","576830","2390","558979","2774","550864","2287","42045"
"PA","Elk County","30990","41","31946","51","35112","60","42047"
"PA","Erie County","270876","2876","280566","2948","280843","2574","42049"
"PA","Fayette County","128804","2168","136606","2186","148644","153","42051"
"PA","Forest County","6973","2653","7716","2179","4946","0","42053"
"PA","Franklin County","155932","0","149618","12","129313","309","42055"
"PA","Fulton County","14556","0","14845","0","14261","0","42057"
"PA","Greene County","35954","1820","38686","1906","40672","2212","42059"
"PA","Huntingdon County","44092","3336","45913","3223","45586","3205","42061"
"PA","Indiana County","83246","1047","88880","1005","89605","69","42063"
"PA","Jefferson County","44492","131","45200","96","45932","53","42065"
"PA","Juniata County","23509","0","24636","39","22821","24","42067"
"PA","Lackawanna County","215896","1019","214437","877","213295","608","42069"
"PA","Lancaster County","552984","696","519445","959","470658","1029","42071"
"PA","Lawrence County","86070","107","91108","223","94643","232","42073"
"PA","Lebanon County","143257","52","133568","442","120327","447","42075"
"PA","Lehigh County","374557","687","349497","1309","312090","1368","42077"
"PA","Luzerne County","325594","3512","320918","4004","319250","3798","42079"
"PA","Lycoming County","114188","1562","116111","1815","120044","2062","42081"
"PA","McKean County","40432","890","43450","1518","45936","1420","42083"
"PA","Mercer County","110652","1559","116638","1596","120293","1051","42085"
"PA","Mifflin County","46143","136","46682","55","46486","57","42087"
"PA","Monroe County","168327","333","169842","368","138687","241","42089"
"PA","Montgomery County","856553","4393","799874","5208","750097","5011","42091"
"PA","Montour County","18136","27","18267","22","18236","25","42093"
"PA","Northampton County","312951","556","297735","713","267066","621","42095"
"PA","Northumberland County","91647","2471","94528","2151","94556","1787","42097"
"PA","Perry County","45842","106","45969","113","43602","76","42099"
"PA","Philadelphia County","1603797","5616","1526006","10393","1517550","7102","42101"
"PA","Pike County","58535","250","57369","335","46302","202","42103"
"PA","Potter County","16396","39","17457","46","18080","22","42105"
"PA","Schuylkill County","143049","4899","148289","5127","150336","4585","42107"
"PA","Snyder County","39736","89","39702","433","37546","153","42109"
"PA","Somerset County","74129","3834","77742","3662","80023","2239","42111"
"PA","Sullivan County","5840","0","6428","0","6556","0","42113"
"PA","Susquehanna County","38434","48","43356","53","42238","62","42115"
"PA","Tioga County","41045","39","41981","81","41373","50","42117"
"PA","Union County","42681","3535","44947","5672","41624","5321","42119"
"PA","Venango County","50454","51","54984","131","57565","200","42121"
"PA","Warren County","38587","120","41815","285","43863","63","42123"
"PA","Washington County","209349","303","207820","355","202897","225","42125"
"PA","Wayne County","51155","2750","52822","3196","47722","1150","42127"
"PA","Westmoreland County","354663","583","365169","1544","369993","1424","42129"
"PA","Wyoming County","26069","56","28276","58","28080","53","42131"
"PA","York County","456438","1686","434972","2592","381751","1433","42133"
"AR","Arkansas County","17149","93","19019","80","20749","67","5001"
"AR","Ashley County","19062","0","21853","80","24209","45","5003"
"AR","Baxter County","41627","83","41513","51","38386","41","5005"
"AR","Benton County","284333","393","221339","46","153406","247","5007"
